week,entry_date,symbol,sector,signal_price,momentum_rank,momentum_score,status,exec_date,exec_price,exec_basis,stop_pct,exit_date,exit_price,exit_reason
2026-W35,2026-08-21,MOREPENLAB,-,96.01,1,99.5,open,2026-08-24,96.0,next_open,0.1088,,,
2026-W35,2026-08-21,AVADHSUGAR,-,834.8,2,99.1,open,2026-08-24,850.0,next_open,0.08,,,
2026-W35,2026-08-21,KABRAEXTRU,-,566.2,3,99.0,open,2026-08-24,567.0,next_open,0.0941,,,
2026-W35,2026-08-21,YASHO,-,4400.0,3,99.0,open,2026-08-24,4420.0,next_open,0.0832,,,
2026-W35,2026-08-21,INDSWFTLAB,-,329.59,5,98.9,open,2026-08-24,329.59,next_open,0.0884,,,
2026-W35,2026-08-21,CUPID,-,284.58,5,98.9,open,2026-08-24,285.5,next_open,0.08,,,
2026-W35,2026-08-21,SIGMAADV,-,688.2,7,98.7,open,2026-08-24,691.25,next_open,0.08,,,
2026-W35,2026-08-21,WELCORP,metal,2311.9,8,98.6,open,2026-08-24,2290.0,next_open,0.08,,,
2026-W35,2026-08-21,SHILPAMED,-,814.95,9,97.4,open,2026-08-24,819.0,next_open,0.08,,,
2026-W35,2026-08-21,RPEL,-,1689.8,10,97.3,open,2026-08-24,1650.1,next_open,0.08,,,
2026-W35,2026-08-21,TFCILTD,-,130.99,11,97.2,open,2026-08-24,132.5,next_open,0.08,,,
2026-W35,2026-08-21,MACPOWER,-,1874.8,12,97.0,open,2026-08-24,1884.2,next_open,0.08,,,
2026-W35,2026-08-21,EMIL,-,186.71,13,96.8,open,2026-08-24,188.2,next_open,0.08,,,
2026-W35,2026-08-21,MARINE,-,375.65,14,96.5,open,2026-08-24,380.15,next_open,0.08,,,
2026-W35,2026-08-21,KWIL,-,48.35,15,96.2,open,2026-08-24,48.4,next_open,0.0806,,,
2026-W35,2026-08-21,PARAS,-,1499.6,16,96.0,open,2026-08-24,1497.0,next_open,0.08,,,
2026-W35,2026-08-21,MAWANASUG,-,152.54,17,95.9,open,2026-08-24,155.0,next_open,0.08,,,
2026-W35,2026-08-21,UTLSOLAR,-,477.4,18,95.7,open,2026-08-24,476.0,next_open,0.08,,,
2026-W35,2026-08-21,DEEPINDS,-,688.05,19,95.6,open,2026-08-24,693.7,next_open,0.08,,,
2026-W35,2026-08-21,SKYGOLD,-,803.5,20,95.4,open,2026-08-24,808.4,next_open,0.08,,,
