symbol,sector,industry,source
360ONE,Financial Services,Asset Management,yahoo
3MINDIA,Industrials,Conglomerates,yahoo
63MOONS,Technology,Software - Application,yahoo
AADHARHFC,Financial Services,Mortgage Finance,yahoo
AARTIIND,Basic Materials,Specialty Chemicals,yahoo
AARTIPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
AAVAS,Financial Services,Mortgage Finance,yahoo
ABB,Industrials,Specialty Industrial Machinery,yahoo
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ABCAPITAL,Financial Services,Financial Conglomerates,yahoo
ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,yahoo
ABFRL,Consumer Cyclical,Apparel Manufacturing,yahoo
ABREL,Real Estate,Real Estate Services,yahoo
ABSLAMC,Financial Services,Asset Management,yahoo
ACC,Basic Materials,Building Materials,yahoo
ACE,Industrials,Farm & Heavy Construction Machinery,yahoo
ACMESOLAR,Utilities,Utilities - Renewable,yahoo
ACUTAAS,Basic Materials,Specialty Chemicals,yahoo
ADANIENSOL,Utilities,Utilities - Independent Power Producers,yahoo
ADANIENT,Energy,Thermal Coal,yahoo
ADANIGREEN,Utilities,Utilities - Renewable,yahoo
ADANIPORTS,Industrials,Marine Shipping,yahoo
ADANIPOWER,Utilities,Utilities - Independent Power Producers,yahoo
ADOR,Industrials,Specialty Industrial Machinery,yahoo
AEGISLOG,Energy,Oil & Gas Refining & Marketing,yahoo
AEGISVOPAK,Energy,Oil & Gas Equipment & Services,yahoo
AEQUS,Industrials,Aerospace & Defense,yahoo
AEROENTER,Basic Materials,Steel,yahoo
AEROFLEX,Industrials,Metal Fabrication,yahoo
AEROPLANE,Consumer Defensive,Farm Products,yahoo
AETHER,Basic Materials,Specialty Chemicals,yahoo
AFCONS,Industrials,Engineering & Construction,yahoo
AFFLE,Communication Services,Advertising Agencies,yahoo
AGARWALEYE,Healthcare,Medical Instruments & Supplies,yahoo
AGI,Consumer Cyclical,Packaging & Containers,yahoo
AGIIL,Real Estate,Real Estate - Development,yahoo
AHLUCONT,Industrials,Engineering & Construction,yahoo
AIAENG,Industrials,Specialty Industrial Machinery,yahoo
AIIL,Financial Services,Capital Markets,yahoo
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
AKUMS,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ALGOQUANT,Financial Services,Capital Markets,yahoo
ALIVUS,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ALKEM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ALKYLAMINE,Basic Materials,Specialty Chemicals,yahoo
ALPHAGEO,Energy,Oil & Gas Equipment & Services,yahoo
AMAGI,Technology,Software - Application,yahoo
AMBER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
AMBUJACEM,Basic Materials,Building Materials,yahoo
ANANDRATHI,Financial Services,Asset Management,yahoo
ANANTRAJ,Real Estate,Real Estate - Development,yahoo
ANDHRSUGAR,Basic Materials,Chemicals,yahoo
ANGELONE,Financial Services,Capital Markets,yahoo
ANTELOPUS,Energy,Oil & Gas E&P,yahoo
ANTHEM,Healthcare,Biotechnology,yahoo
ANURAS,Basic Materials,Specialty Chemicals,yahoo
APARINDS,Industrials,Electrical Equipment & Parts,yahoo
APCOTEXIND,Basic Materials,Specialty Chemicals,yahoo
APEX,Consumer Defensive,Farm Products,yahoo
APLAPOLLO,Basic Materials,Steel,yahoo
APOLLO,Industrials,Aerospace & Defense,yahoo
APOLLOHOSP,Healthcare,Medical Care Facilities,yahoo
APOLLOPIPE,Industrials,Building Products & Equipment,yahoo
APOLLOTYRE,Consumer Cyclical,Auto Parts,yahoo
APTUS,Financial Services,Mortgage Finance,yahoo
ARDEE,Industrials,Metal Fabrication,yahoo
ARE&M,Industrials,Electrical Equipment & Parts,yahoo
ARFIN,Basic Materials,Aluminum,yahoo
ARIS,Industrials,Engineering & Construction,yahoo
ARSSBL,Financial Services,Financial Conglomerates,yahoo
ARVIND,Consumer Cyclical,Textile Manufacturing,yahoo
ARVINDFASN,Consumer Cyclical,Apparel Retail,yahoo
ASAHIINDIA,Consumer Cyclical,Auto Parts,yahoo
ASHAPURMIN,Basic Materials,Other Industrial Metals & Mining,yahoo
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery,yahoo
ASIANENE,Energy,Oil & Gas Equipment & Services,yahoo
ASIANPAINT,Basic Materials,Specialty Chemicals,yahoo
ASIANTILES,Industrials,Building Products & Equipment,yahoo
ASKAUTOLTD,Consumer Cyclical,Auto Parts,yahoo
ASTERDM,Healthcare,Medical Care Facilities,yahoo
ASTRAL,Industrials,Building Products & Equipment,yahoo
ASTRAMICRO,Technology,Communication Equipment,yahoo
ASTRAZEN,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ATALREAL,Industrials,Engineering & Construction,yahoo
ATGL,Utilities,Utilities - Regulated Gas,yahoo
ATHERENERG,Consumer Cyclical,Auto Manufacturers,yahoo
ATLANTAELE,Industrials,Electrical Equipment & Parts,yahoo
ATUL,Basic Materials,Specialty Chemicals,yahoo
AUBANK,Financial Services,Banks - Regional,yahoo
AURIONPRO,Technology,Software - Application,yahoo
AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
AVADHSUGAR,Consumer Defensive,Confectioners,yahoo
AVALON,Technology,Electronic Components,yahoo
AVANTEL,Technology,Communication Equipment,yahoo
AVANTIFEED,Consumer Defensive,Packaged Foods,yahoo
AVL,Consumer Cyclical,Specialty Retail,yahoo
AWL,Consumer Defensive,Packaged Foods,yahoo
AXISBANK,Financial Services,Banks - Regional,yahoo
AXISCADES,Industrials,Engineering & Construction,yahoo
AZAD,Industrials,Specialty Industrial Machinery,yahoo
BAJAJ-AUTO,Consumer Cyclical,Auto Manufacturers,yahoo
BAJAJCON,Consumer Defensive,Household & Personal Products,yahoo
BAJAJFINSV,Financial Services,Financial Conglomerates,yahoo
BAJAJHFL,Financial Services,Mortgage Finance,yahoo
BAJAJHIND,Consumer Defensive,Confectioners,yahoo
BAJAJHLDNG,Financial Services,Asset Management,yahoo
BAJFINANCE,Financial Services,Credit Services,yahoo
BALAMINES,Basic Materials,Specialty Chemicals,yahoo
BALKRISIND,Consumer Cyclical,Auto Parts,yahoo
BALRAMCHIN,Consumer Defensive,Confectioners,yahoo
BALUFORGE,Industrials,Metal Fabrication,yahoo
BANCOINDIA,Consumer Cyclical,Auto Parts,yahoo
BANDHANBNK,Financial Services,Banks - Regional,yahoo
BANKBARODA,Financial Services,Banks - Regional,yahoo
