symbol,close,med_turnover_cr,days
HDFCBANK,716.55,1886.4969138924998,20
BSE,3310.0,1464.0784632,20
RELIANCE,1235.3,1225.26992405,20
ICICIBANK,1350.4,1221.02614812,20
INFY,1077.0,930.883521825,20
NETWEB,4614.0,911.5367764499999,20
BHARTIARTL,1830.4,806.3250789,20
IFCI,76.95,764.6258145325,20
SBIN,968.0,733.65791268,20
ETERNAL,315.25,729.63827598,20
MCX,3173.5,705.9764129,20
ATHERENERG,1568.5,621.09625848,20
TCS,2251.0,579.7180099200001,20
TATASTEEL,183.65,576.6367698,20
PAYTM,1730.0,564.07684225,20
GROWW,197.59,556.2672448809999,20
M&M,3029.5,555.352866,20
DIXON,13180.0,552.1135810000001,20
DHOOTTRANS,1555.9,549.6985074725001,20
BAJFINANCE,1009.2,533.5363369700001,20
LT,3850.7,508.91010665,20
HINDCOPPER,492.1,501.408720305,20
AXISBANK,1222.9,501.13113435,20
ADANIENT,2928.6,498.61800158000005,20
KOTAKBANK,409.8,485.4249483375,20
WELCORP,2413.3,480.274921995,20
LENSKART,685.4,473.2158972149999,20
SWIGGY,275.0,467.26942879499995,20
SILVERBEES,214.67,460.132895263,20
DIVISLAB,9198.0,452.5222775,20
KALYANKJIL,604.2,431.0232261725,20
MARUTI,12231.0,425.20984350000003,20
LAURUSLABS,1926.9,417.084904215,20
MILKYMIST,278.14,409.434554091,20
COFORGE,1775.5,392.69207765500005,20
HSCL,637.25,387.53495609000004,20
HFCL,226.27,382.14683291499995,11
MEESHO,212.4,379.269219795,20
KAYNES,3392.0,377.4877722,20
GVT&D,4246.9,376.57390742499996,20
HINDZINC,560.9,375.54810819,20
SAIL,173.0,366.97391806,20
BEL,382.9,364.6731087,20
SHRIRAMFIN,979.8,361.07089744,20
LALITHAA,321.7,349.379883664,17
GRASIM,3171.0,347.06047494999996,20
PINELABS,193.8,331.4785550335,20
GOLDBEES,123.62,324.561394549,20
HAL,4695.0,322.38559212,20
LICI,391.5,320.54449187,20
TMCV,427.15,308.7350209625,20
MVELECTRO,777.0,308.567729265,20
CUPID,284.4,307.12631307099997,20
ITC,258.0,300.9435595325,20
POLYCAB,8143.5,298.69062440000005,20
ADANIPOWER,202.0,298.6687504815,20
INDIGO,4776.0,298.2581176,20
HINDALCO,958.7,296.34624778,20
ADANIPORTS,1713.8,295.53926657999995,20
VAML,406.0,290.19184215999996,20
LIQUIDBEES,999.99,288.85361143499995,20
EICHERMOT,7452.5,287.07030810000003,20
COALINDIA,419.25,285.703269525,20
ONGC,235.95,283.44567816250003,20
ULTRACEMCO,10697.0,276.24546035000003,20
TECHM,1575.9,272.75754408499995,20
DATAPATTNS,4358.8,271.02629407999996,20
ADANIENSOL,1347.5,270.63859112,20
SOLARINDS,19250.0,267.93565875,20
POWERINDIA,30790.0,267.5422155,20
KEI,4500.0,264.5699781,20
SUNPHARMA,1835.0,262.11217177000003,20
